dataset,model,attack,seed,defense_name,detection_f1,defense_clean_acc,defense_asr,asr_drop,relative_asr_reduction,utility_drop,defense_effective,source_file
ACM,HAN,cba,1,HeteroGuard-Unlearn,1.0,0.864130437374115,0.0859375,0.515625,0.8571428571428571,0.02173912525177002,False,results_acm_han_5seeds/integrated_ACM_HAN_cba_r0.07_seed1_20260514_134352.json
ACM,HAN,cba,2,HeteroGuard-Unlearn,1.0,0.8913043737411499,0.0625,0.6328125,0.9101123595505618,-0.01086956262588501,False,results_acm_han_5seeds/integrated_ACM_HAN_cba_r0.07_seed2_20260514_135034.json
ACM,HAN,cba,3,HeteroGuard-Unlearn,1.0,0.8804348111152649,0.0546875,0.3359375,0.86,0.005434751510620117,True,results_acm_han_5seeds/integrated_ACM_HAN_cba_r0.07_seed3_20260514_135727.json
ACM,HAN,cba,4,HeteroGuard-Unlearn,1.0,0.8804348111152649,0.0703125,0.9296875,0.9296875,0.01086956262588501,False,results_acm_han_5seeds/integrated_ACM_HAN_cba_r0.07_seed4_20260514_140400.json
ACM,HAN,cba,5,HeteroGuard-Unlearn,1.0,0.8913043737411499,0.078125,0.4765625,0.8591549295774648,0.0,False,results_acm_han_5seeds/integrated_ACM_HAN_cba_r0.07_seed5_20260514_141048.json
ACM,HAN,clean_label,1,HeteroGuard-Unlearn,1.0,0.83152174949646,0.0078125,0.8984375,0.9913793103448276,0.05434781312942505,True,results_acm_han_5seeds/integrated_ACM_HAN_clean_label_r0.20_seed1_20260514_134240.json
ACM,HAN,clean_label,2,HeteroGuard-Unlearn,1.0,0.8586956262588501,0.046875,0.828125,0.9464285714285714,0.021739184856414795,True,results_acm_han_5seeds/integrated_ACM_HAN_clean_label_r0.20_seed2_20260514_134925.json
ACM,HAN,clean_label,3,HeteroGuard-Unlearn,1.0,0.8369565010070801,0.03125,0.8046875,0.9626168224299065,0.04891306161880493,True,results_acm_han_5seeds/integrated_ACM_HAN_clean_label_r0.20_seed3_20260514_135615.json
ACM,HAN,clean_label,4,HeteroGuard-Unlearn,1.0,0.842391312122345,0.0234375,0.6796875,0.9666666666666667,0.04891306161880493,True,results_acm_han_5seeds/integrated_ACM_HAN_clean_label_r0.20_seed4_20260514_140253.json
ACM,HAN,clean_label,5,HeteroGuard-Unlearn,1.0,0.8695651888847351,0.0234375,0.96875,0.9763779527559056,0.021739184856414795,True,results_acm_han_5seeds/integrated_ACM_HAN_clean_label_r0.20_seed5_20260514_140938.json
ACM,HAN,feature,1,HeteroGuard-Unlearn,1.0,0.875,0.015625,0.8359375,0.981651376146789,0.01086956262588501,True,results_acm_han_5seeds/integrated_ACM_HAN_feature_r0.10_seed1_20260514_133801.json
ACM,HAN,feature,2,HeteroGuard-Unlearn,1.0,0.875,0.0078125,0.8515625,0.990909090909091,0.005434811115264893,True,results_acm_han_5seeds/integrated_ACM_HAN_feature_r0.10_seed2_20260514_134456.json
ACM,HAN,feature,3,HeteroGuard-Unlearn,1.0,0.8804348111152649,0.015625,0.9140625,0.9831932773109243,0.005434751510620117,True,results_acm_han_5seeds/integrated_ACM_HAN_feature_r0.10_seed3_20260514_135137.json
ACM,HAN,feature,4,HeteroGuard-Unlearn,1.0,0.864130437374115,0.0546875,0.90625,0.943089430894309,0.027173936367034912,True,results_acm_han_5seeds/integrated_ACM_HAN_feature_r0.10_seed4_20260514_135828.json
ACM,HAN,feature,5,HeteroGuard-Unlearn,1.0,0.8804348111152649,0.015625,0.7421875,0.979381443298969,0.01086956262588501,True,results_acm_han_5seeds/integrated_ACM_HAN_feature_r0.10_seed5_20260514_140507.json
ACM,HAN,relation,1,HeteroGuard-Unlearn,1.0,0.8695651888847351,0.0078125,0.9921875,0.9921875,0.016304373741149902,True,results_acm_han_5seeds/integrated_ACM_HAN_relation_r0.20_seed1_20260514_134132.json
ACM,HAN,relation,2,HeteroGuard-Unlearn,1.0,0.885869562625885,0.0078125,0.9609375,0.9919354838709677,-0.005434751510620117,True,results_acm_han_5seeds/integrated_ACM_HAN_relation_r0.20_seed2_20260514_134819.json
ACM,HAN,relation,3,HeteroGuard-Unlearn,1.0,0.8695651888847351,0.0,1.0,1.0,0.016304373741149902,True,results_acm_han_5seeds/integrated_ACM_HAN_relation_r0.20_seed3_20260514_135508.json
ACM,HAN,relation,4,HeteroGuard-Unlearn,1.0,0.8695651888847351,0.015625,0.984375,0.984375,0.021739184856414795,True,results_acm_han_5seeds/integrated_ACM_HAN_relation_r0.20_seed4_20260514_140149.json
ACM,HAN,relation,5,HeteroGuard-Unlearn,1.0,0.864130437374115,0.0,1.0,1.0,0.027173936367034912,True,results_acm_han_5seeds/integrated_ACM_HAN_relation_r0.20_seed5_20260514_140833.json
ACM,HAN,sba,1,HeteroGuard-Unlearn,1.0,0.864130437374115,0.046875,0.953125,0.953125,0.02173912525177002,True,results_acm_han_5seeds/integrated_ACM_HAN_sba_r0.20_seed1_20260514_133913.json
ACM,HAN,sba,2,HeteroGuard-Unlearn,1.0,0.8804348111152649,0.015625,0.984375,0.984375,0.0,True,results_acm_han_5seeds/integrated_ACM_HAN_sba_r0.20_seed2_20260514_134607.json
ACM,HAN,sba,3,HeteroGuard-Unlearn,1.0,0.8804348111152649,0.015625,0.984375,0.984375,0.005434751510620117,True,results_acm_han_5seeds/integrated_ACM_HAN_sba_r0.20_seed3_20260514_135250.json
ACM,HAN,sba,4,HeteroGuard-Unlearn,1.0,0.875,0.015625,0.984375,0.984375,0.016304373741149902,True,results_acm_han_5seeds/integrated_ACM_HAN_sba_r0.20_seed4_20260514_135936.json
ACM,HAN,sba,5,HeteroGuard-Unlearn,1.0,0.8804348111152649,0.0078125,0.8515625,0.990909090909091,0.01086956262588501,True,results_acm_han_5seeds/integrated_ACM_HAN_sba_r0.20_seed5_20260514_140617.json
ACM,HAN,uba,1,HeteroGuard-Unlearn,1.0,0.885869562625885,0.015625,0.984375,0.984375,0.0,True,results_acm_han_5seeds/integrated_ACM_HAN_uba_r0.20_seed1_20260514_134025.json
ACM,HAN,uba,2,HeteroGuard-Unlearn,1.0,0.875,0.0078125,0.9765625,0.9920634920634921,0.005434811115264893,True,results_acm_han_5seeds/integrated_ACM_HAN_uba_r0.20_seed2_20260514_134715.json
ACM,HAN,uba,3,HeteroGuard-Unlearn,1.0,0.885869562625885,0.015625,0.984375,0.984375,0.0,True,results_acm_han_5seeds/integrated_ACM_HAN_uba_r0.20_seed3_20260514_135402.json
ACM,HAN,uba,4,HeteroGuard-Unlearn,1.0,0.85326087474823,0.015625,0.984375,0.984375,0.03804349899291992,True,results_acm_han_5seeds/integrated_ACM_HAN_uba_r0.20_seed4_20260514_140045.json
ACM,HAN,uba,5,HeteroGuard-Unlearn,1.0,0.8913043737411499,0.0,0.9453125,1.0,0.0,True,results_acm_han_5seeds/integrated_ACM_HAN_uba_r0.20_seed5_20260514_140727.json
