source_file,dataset,model,attack,seed,sensitivity_group,param_value,poison_rate,trigger_size,unlearn_lambda,target_suppression,clean_acc,backdoored_clean_acc,clean_trigger_asr,poisoned_asr,learned_backdoor_gap,detection_precision,detection_recall,detection_f1,defense_clean_acc,defense_asr,asr_drop,utility_drop,relative_asr_reduction,attack_valid
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.050_seed1_20260515_000402.json,ACM,HAN,cba,1,poison_rate,0.05,0.05,12,1.0,0.2,0.885869562625885,0.7010869383811951,0.078125,0.7265625,0.6484375,1.0,1.0,1.0,0.885869562625885,0.078125,0.6484375,0.0,,True
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.050_seed2_20260515_002127.json,ACM,HAN,cba,2,poison_rate,0.05,0.05,12,1.0,0.2,0.8804348111152649,0.85326087474823,0.078125,0.2265625,0.1484375,1.0,1.0,1.0,0.864130437374115,0.078125,0.1484375,0.016304373741149902,,False
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.050_seed3_20260515_003833.json,ACM,HAN,cba,3,poison_rate,0.05,0.05,12,1.0,0.2,0.885869562625885,0.7554348111152649,0.0703125,0.5078125,0.4375,1.0,1.0,1.0,0.864130437374115,0.0703125,0.4375,0.02173912525177002,,False
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.050_seed4_20260515_005550.json,ACM,HAN,cba,4,poison_rate,0.05,0.05,12,1.0,0.2,0.8913043737411499,0.8369565010070801,0.0546875,0.46875,0.4140625,1.0,1.0,1.0,0.885869562625885,0.0625,0.40625,0.005434811115264893,,False
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.050_seed5_20260515_011231.json,ACM,HAN,cba,5,poison_rate,0.05,0.05,12,1.0,0.2,0.8913043737411499,0.7771739363670349,0.09375,0.453125,0.359375,1.0,1.0,1.0,0.8586956262588501,0.09375,0.359375,0.032608747482299805,,False
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed1_20260515_000733.json,ACM,HAN,cba,1,poison_rate,0.075,0.075,12,1.0,0.2,0.885869562625885,0.804347813129425,0.078125,0.6015625,0.5234375,1.0,1.0,1.0,0.8913043737411499,0.0546875,0.546875,-0.005434811115264893,,True
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed1_20260515_012945.json,ACM,HAN,cba,1,trigger_size,4.0,0.075,4,1.0,0.2,0.885869562625885,0.782608687877655,0.0703125,0.3671875,0.296875,1.0,1.0,1.0,0.8913043737411499,0.0703125,0.296875,-0.005434811115264893,,False
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed1_20260515_013313.json,ACM,HAN,cba,1,trigger_size,8.0,0.075,8,1.0,0.2,0.885869562625885,0.760869562625885,0.078125,0.5859375,0.5078125,1.0,1.0,1.0,0.8913043737411499,0.0546875,0.53125,-0.005434811115264893,,False
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed1_20260515_013645.json,ACM,HAN,cba,1,trigger_size,10.0,0.075,10,1.0,0.2,0.885869562625885,0.7554348111152649,0.078125,0.46875,0.390625,1.0,1.0,1.0,0.885869562625885,0.0703125,0.3984375,0.0,,False
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed1_20260515_014016.json,ACM,HAN,cba,1,trigger_size,12.0,0.075,12,1.0,0.2,0.885869562625885,0.804347813129425,0.078125,0.6015625,0.5234375,1.0,1.0,1.0,0.8913043737411499,0.0546875,0.546875,-0.005434811115264893,,True
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed1_20260515_014346.json,ACM,HAN,cba,1,trigger_size,16.0,0.075,16,1.0,0.2,0.885869562625885,0.8260869383811951,0.078125,0.6015625,0.5234375,1.0,1.0,1.0,0.8913043737411499,0.0390625,0.5625,-0.005434811115264893,,True
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed1_20260515_025538.json,ACM,HAN,cba,1,unlearn_lambda,0.0,0.075,12,0.0,0.2,0.885869562625885,0.804347813129425,0.078125,0.6015625,0.5234375,1.0,1.0,1.0,0.8695651888847351,0.046875,0.5546875,0.016304373741149902,,True
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed1_20260515_025908.json,ACM,HAN,cba,1,unlearn_lambda,0.25,0.075,12,0.25,0.2,0.885869562625885,0.804347813129425,0.078125,0.6015625,0.5234375,1.0,1.0,1.0,0.864130437374115,0.0703125,0.53125,0.02173912525177002,,True
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed1_20260515_030240.json,ACM,HAN,cba,1,unlearn_lambda,0.5,0.075,12,0.5,0.2,0.885869562625885,0.804347813129425,0.078125,0.6015625,0.5234375,1.0,1.0,1.0,0.875,0.0625,0.5390625,0.01086956262588501,,True
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed1_20260515_030609.json,ACM,HAN,cba,1,unlearn_lambda,1.0,0.075,12,1.0,0.2,0.885869562625885,0.804347813129425,0.078125,0.6015625,0.5234375,1.0,1.0,1.0,0.8913043737411499,0.0546875,0.546875,-0.005434811115264893,,True
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed1_20260515_030940.json,ACM,HAN,cba,1,unlearn_lambda,2.0,0.075,12,2.0,0.2,0.885869562625885,0.804347813129425,0.078125,0.6015625,0.5234375,1.0,1.0,1.0,0.8913043737411499,0.0546875,0.546875,-0.005434811115264893,,True
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed1_20260515_042123.json,ACM,HAN,cba,1,target_suppression,0.0,0.075,12,1.0,0.0,0.885869562625885,0.804347813129425,0.078125,0.6015625,0.5234375,1.0,1.0,1.0,0.875,0.0625,0.5390625,0.01086956262588501,,True
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed1_20260515_042454.json,ACM,HAN,cba,1,target_suppression,0.1,0.075,12,1.0,0.1,0.885869562625885,0.804347813129425,0.078125,0.6015625,0.5234375,1.0,1.0,1.0,0.885869562625885,0.0859375,0.515625,0.0,,True
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed1_20260515_042823.json,ACM,HAN,cba,1,target_suppression,0.2,0.075,12,1.0,0.2,0.885869562625885,0.804347813129425,0.078125,0.6015625,0.5234375,1.0,1.0,1.0,0.8913043737411499,0.0546875,0.546875,-0.005434811115264893,,True
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed1_20260515_043153.json,ACM,HAN,cba,1,target_suppression,0.5,0.075,12,1.0,0.5,0.885869562625885,0.804347813129425,0.078125,0.6015625,0.5234375,1.0,1.0,1.0,0.885869562625885,0.046875,0.5546875,0.0,,True
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed1_20260515_043522.json,ACM,HAN,cba,1,target_suppression,1.0,0.075,12,1.0,1.0,0.885869562625885,0.804347813129425,0.078125,0.6015625,0.5234375,1.0,1.0,1.0,0.875,0.046875,0.5546875,0.01086956262588501,,True
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed2_20260515_002452.json,ACM,HAN,cba,2,poison_rate,0.075,0.075,12,1.0,0.2,0.8804348111152649,0.7228260636329651,0.078125,0.6953125,0.6171875,1.0,1.0,1.0,0.875,0.0546875,0.640625,0.005434811115264893,,True
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed2_20260515_014710.json,ACM,HAN,cba,2,trigger_size,4.0,0.075,4,1.0,0.2,0.8804348111152649,0.7880434989929199,0.0703125,0.3125,0.2421875,1.0,1.0,1.0,0.8586956262588501,0.125,0.1875,0.021739184856414795,,False
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed2_20260515_015035.json,ACM,HAN,cba,2,trigger_size,8.0,0.075,8,1.0,0.2,0.8804348111152649,0.782608687877655,0.078125,0.4140625,0.3359375,1.0,1.0,1.0,0.8586956262588501,0.0859375,0.328125,0.021739184856414795,,False
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed2_20260515_015400.json,ACM,HAN,cba,2,trigger_size,10.0,0.075,10,1.0,0.2,0.8804348111152649,0.760869562625885,0.078125,0.625,0.546875,1.0,1.0,1.0,0.8695651888847351,0.0625,0.5625,0.010869622230529785,,True
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed2_20260515_015723.json,ACM,HAN,cba,2,trigger_size,12.0,0.075,12,1.0,0.2,0.8804348111152649,0.7228260636329651,0.078125,0.6953125,0.6171875,1.0,1.0,1.0,0.875,0.0546875,0.640625,0.005434811115264893,,True
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed2_20260515_020047.json,ACM,HAN,cba,2,trigger_size,16.0,0.075,16,1.0,0.2,0.8804348111152649,0.77173912525177,0.078125,0.75,0.671875,1.0,1.0,1.0,0.8804348111152649,0.0546875,0.6953125,0.0,,True
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed2_20260515_031304.json,ACM,HAN,cba,2,unlearn_lambda,0.0,0.075,12,0.0,0.2,0.8804348111152649,0.7228260636329651,0.078125,0.6953125,0.6171875,1.0,1.0,1.0,0.89673912525177,0.0546875,0.640625,-0.016304314136505127,,True
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed2_20260515_031628.json,ACM,HAN,cba,2,unlearn_lambda,0.25,0.075,12,0.25,0.2,0.8804348111152649,0.7228260636329651,0.078125,0.6953125,0.6171875,1.0,1.0,1.0,0.875,0.0546875,0.640625,0.005434811115264893,,True
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed2_20260515_031952.json,ACM,HAN,cba,2,unlearn_lambda,0.5,0.075,12,0.5,0.2,0.8804348111152649,0.7228260636329651,0.078125,0.6953125,0.6171875,1.0,1.0,1.0,0.885869562625885,0.0625,0.6328125,-0.005434751510620117,,True
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed2_20260515_032317.json,ACM,HAN,cba,2,unlearn_lambda,1.0,0.075,12,1.0,0.2,0.8804348111152649,0.7228260636329651,0.078125,0.6953125,0.6171875,1.0,1.0,1.0,0.875,0.0546875,0.640625,0.005434811115264893,,True
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed2_20260515_032641.json,ACM,HAN,cba,2,unlearn_lambda,2.0,0.075,12,2.0,0.2,0.8804348111152649,0.7228260636329651,0.078125,0.6953125,0.6171875,1.0,1.0,1.0,0.864130437374115,0.0703125,0.625,0.016304373741149902,,True
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed2_20260515_043845.json,ACM,HAN,cba,2,target_suppression,0.0,0.075,12,1.0,0.0,0.8804348111152649,0.7228260636329651,0.078125,0.6953125,0.6171875,1.0,1.0,1.0,0.875,0.0859375,0.609375,0.005434811115264893,,True
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed2_20260515_044211.json,ACM,HAN,cba,2,target_suppression,0.1,0.075,12,1.0,0.1,0.8804348111152649,0.7228260636329651,0.078125,0.6953125,0.6171875,1.0,1.0,1.0,0.8695651888847351,0.1015625,0.59375,0.010869622230529785,,True
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed2_20260515_044536.json,ACM,HAN,cba,2,target_suppression,0.2,0.075,12,1.0,0.2,0.8804348111152649,0.7228260636329651,0.078125,0.6953125,0.6171875,1.0,1.0,1.0,0.875,0.0546875,0.640625,0.005434811115264893,,True
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed2_20260515_044901.json,ACM,HAN,cba,2,target_suppression,0.5,0.075,12,1.0,0.5,0.8804348111152649,0.7228260636329651,0.078125,0.6953125,0.6171875,1.0,1.0,1.0,0.8913043737411499,0.0703125,0.625,-0.01086956262588501,,True
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed2_20260515_045226.json,ACM,HAN,cba,2,target_suppression,1.0,0.075,12,1.0,1.0,0.8804348111152649,0.7228260636329651,0.078125,0.6953125,0.6171875,1.0,1.0,1.0,0.885869562625885,0.0546875,0.640625,-0.005434751510620117,,True
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed3_20260515_004203.json,ACM,HAN,cba,3,poison_rate,0.075,0.075,12,1.0,0.2,0.885869562625885,0.8695651888847351,0.0703125,0.390625,0.3203125,1.0,1.0,1.0,0.8913043737411499,0.046875,0.34375,-0.005434811115264893,,False
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed3_20260515_020418.json,ACM,HAN,cba,3,trigger_size,4.0,0.075,4,1.0,0.2,0.885869562625885,0.3586956560611725,0.0703125,1.0,0.9296875,1.0,1.0,1.0,0.8695651888847351,0.09375,0.90625,0.016304373741149902,,True
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed3_20260515_020749.json,ACM,HAN,cba,3,trigger_size,8.0,0.075,8,1.0,0.2,0.885869562625885,0.3695652186870575,0.0703125,1.0,0.9296875,1.0,1.0,1.0,0.8695651888847351,0.0625,0.9375,0.016304373741149902,,True
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed3_20260515_021118.json,ACM,HAN,cba,3,trigger_size,10.0,0.075,10,1.0,0.2,0.885869562625885,0.3695652186870575,0.0703125,1.0,0.9296875,1.0,1.0,1.0,0.8913043737411499,0.0625,0.9375,-0.005434811115264893,,True
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed3_20260515_021448.json,ACM,HAN,cba,3,trigger_size,12.0,0.075,12,1.0,0.2,0.885869562625885,0.8695651888847351,0.0703125,0.390625,0.3203125,1.0,1.0,1.0,0.8913043737411499,0.046875,0.34375,-0.005434811115264893,,False
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed3_20260515_021819.json,ACM,HAN,cba,3,trigger_size,16.0,0.075,16,1.0,0.2,0.885869562625885,0.3804347813129425,0.0703125,1.0,0.9296875,1.0,1.0,1.0,0.8913043737411499,0.046875,0.953125,-0.005434811115264893,,True
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed3_20260515_033010.json,ACM,HAN,cba,3,unlearn_lambda,0.0,0.075,12,0.0,0.2,0.885869562625885,0.8695651888847351,0.0703125,0.390625,0.3203125,1.0,1.0,1.0,0.8695651888847351,0.0546875,0.3359375,0.016304373741149902,,False
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed3_20260515_033342.json,ACM,HAN,cba,3,unlearn_lambda,0.25,0.075,12,0.25,0.2,0.885869562625885,0.8695651888847351,0.0703125,0.390625,0.3203125,1.0,1.0,1.0,0.8695651888847351,0.0625,0.328125,0.016304373741149902,,False
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed3_20260515_033711.json,ACM,HAN,cba,3,unlearn_lambda,0.5,0.075,12,0.5,0.2,0.885869562625885,0.8695651888847351,0.0703125,0.390625,0.3203125,1.0,1.0,1.0,0.8913043737411499,0.0859375,0.3046875,-0.005434811115264893,,False
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed3_20260515_034041.json,ACM,HAN,cba,3,unlearn_lambda,1.0,0.075,12,1.0,0.2,0.885869562625885,0.8695651888847351,0.0703125,0.390625,0.3203125,1.0,1.0,1.0,0.8913043737411499,0.046875,0.34375,-0.005434811115264893,,False
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed3_20260515_034411.json,ACM,HAN,cba,3,unlearn_lambda,2.0,0.075,12,2.0,0.2,0.885869562625885,0.8695651888847351,0.0703125,0.390625,0.3203125,1.0,1.0,1.0,0.8804348111152649,0.1015625,0.2890625,0.005434751510620117,,False
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed3_20260515_045556.json,ACM,HAN,cba,3,target_suppression,0.0,0.075,12,1.0,0.0,0.885869562625885,0.8695651888847351,0.0703125,0.390625,0.3203125,1.0,1.0,1.0,0.8804348111152649,0.0859375,0.3046875,0.005434751510620117,,False
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed3_20260515_045927.json,ACM,HAN,cba,3,target_suppression,0.1,0.075,12,1.0,0.1,0.885869562625885,0.8695651888847351,0.0703125,0.390625,0.3203125,1.0,1.0,1.0,0.8586956262588501,0.078125,0.3125,0.027173936367034912,,False
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed3_20260515_050301.json,ACM,HAN,cba,3,target_suppression,0.2,0.075,12,1.0,0.2,0.885869562625885,0.8695651888847351,0.0703125,0.390625,0.3203125,1.0,1.0,1.0,0.8913043737411499,0.046875,0.34375,-0.005434811115264893,,False
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed3_20260515_050633.json,ACM,HAN,cba,3,target_suppression,0.5,0.075,12,1.0,0.5,0.885869562625885,0.8695651888847351,0.0703125,0.390625,0.3203125,1.0,1.0,1.0,0.8913043737411499,0.046875,0.34375,-0.005434811115264893,,False
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed3_20260515_051006.json,ACM,HAN,cba,3,target_suppression,1.0,0.075,12,1.0,1.0,0.885869562625885,0.8695651888847351,0.0703125,0.390625,0.3203125,1.0,1.0,1.0,0.842391312122345,0.0625,0.328125,0.04347825050354004,,False
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed4_20260515_005908.json,ACM,HAN,cba,4,poison_rate,0.075,0.075,12,1.0,0.2,0.8913043737411499,0.3695652186870575,0.0546875,1.0,0.9453125,1.0,1.0,1.0,0.875,0.09375,0.90625,0.016304373741149902,,True
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed4_20260515_022137.json,ACM,HAN,cba,4,trigger_size,4.0,0.075,4,1.0,0.2,0.8913043737411499,0.760869562625885,0.0625,0.3359375,0.2734375,1.0,1.0,1.0,0.8804348111152649,0.109375,0.2265625,0.01086956262588501,,False
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed4_20260515_022456.json,ACM,HAN,cba,4,trigger_size,8.0,0.075,8,1.0,0.2,0.8913043737411499,0.717391312122345,0.0625,0.609375,0.546875,1.0,1.0,1.0,0.875,0.09375,0.515625,0.016304373741149902,,True
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed4_20260515_022816.json,ACM,HAN,cba,4,trigger_size,10.0,0.075,10,1.0,0.2,0.8913043737411499,0.77173912525177,0.0625,0.609375,0.546875,1.0,1.0,1.0,0.8695651888847351,0.0546875,0.5546875,0.021739184856414795,,True
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed4_20260515_023135.json,ACM,HAN,cba,4,trigger_size,12.0,0.075,12,1.0,0.2,0.8913043737411499,0.3695652186870575,0.0546875,1.0,0.9453125,1.0,1.0,1.0,0.875,0.09375,0.90625,0.016304373741149902,,True
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed4_20260515_023453.json,ACM,HAN,cba,4,trigger_size,16.0,0.075,16,1.0,0.2,0.8913043737411499,0.7010869383811951,0.0546875,0.1796875,0.125,1.0,1.0,1.0,0.8913043737411499,0.0703125,0.109375,0.0,,False
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed4_20260515_034727.json,ACM,HAN,cba,4,unlearn_lambda,0.0,0.075,12,0.0,0.2,0.8913043737411499,0.3695652186870575,0.0546875,1.0,0.9453125,1.0,1.0,1.0,0.8804348111152649,0.0859375,0.9140625,0.01086956262588501,,True
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed4_20260515_035045.json,ACM,HAN,cba,4,unlearn_lambda,0.25,0.075,12,0.25,0.2,0.8913043737411499,0.3695652186870575,0.0546875,1.0,0.9453125,1.0,1.0,1.0,0.8913043737411499,0.0625,0.9375,0.0,,True
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed4_20260515_035404.json,ACM,HAN,cba,4,unlearn_lambda,0.5,0.075,12,0.5,0.2,0.8913043737411499,0.3695652186870575,0.0546875,1.0,0.9453125,1.0,1.0,1.0,0.8913043737411499,0.078125,0.921875,0.0,,True
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed4_20260515_035722.json,ACM,HAN,cba,4,unlearn_lambda,1.0,0.075,12,1.0,0.2,0.8913043737411499,0.3695652186870575,0.0546875,1.0,0.9453125,1.0,1.0,1.0,0.875,0.09375,0.90625,0.016304373741149902,,True
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed4_20260515_040040.json,ACM,HAN,cba,4,unlearn_lambda,2.0,0.075,12,2.0,0.2,0.8913043737411499,0.3695652186870575,0.0546875,1.0,0.9453125,1.0,1.0,1.0,0.864130437374115,0.09375,0.90625,0.027173936367034912,,True
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed4_20260515_051326.json,ACM,HAN,cba,4,target_suppression,0.0,0.075,12,1.0,0.0,0.8913043737411499,0.3695652186870575,0.0546875,1.0,0.9453125,1.0,1.0,1.0,0.89673912525177,0.0703125,0.9296875,-0.005434751510620117,,True
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed4_20260515_051641.json,ACM,HAN,cba,4,target_suppression,0.1,0.075,12,1.0,0.1,0.8913043737411499,0.3695652186870575,0.0546875,1.0,0.9453125,1.0,1.0,1.0,0.875,0.078125,0.921875,0.016304373741149902,,True
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed4_20260515_052000.json,ACM,HAN,cba,4,target_suppression,0.2,0.075,12,1.0,0.2,0.8913043737411499,0.3695652186870575,0.0546875,1.0,0.9453125,1.0,1.0,1.0,0.875,0.09375,0.90625,0.016304373741149902,,True
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed4_20260515_052319.json,ACM,HAN,cba,4,target_suppression,0.5,0.075,12,1.0,0.5,0.8913043737411499,0.3695652186870575,0.0546875,1.0,0.9453125,1.0,1.0,1.0,0.8913043737411499,0.0546875,0.9453125,0.0,,True
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed4_20260515_052638.json,ACM,HAN,cba,4,target_suppression,1.0,0.075,12,1.0,1.0,0.8913043737411499,0.3695652186870575,0.0546875,1.0,0.9453125,1.0,1.0,1.0,0.885869562625885,0.0546875,0.9453125,0.005434811115264893,,True
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed5_20260515_011555.json,ACM,HAN,cba,5,poison_rate,0.075,0.075,12,1.0,0.2,0.8913043737411499,0.804347813129425,0.09375,0.5546875,0.4609375,1.0,1.0,1.0,0.885869562625885,0.09375,0.4609375,0.005434811115264893,,False
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed5_20260515_023821.json,ACM,HAN,cba,5,trigger_size,4.0,0.075,4,1.0,0.2,0.8913043737411499,0.7663043737411499,0.0859375,0.359375,0.2734375,1.0,1.0,1.0,0.875,0.1015625,0.2578125,0.016304373741149902,,False
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed5_20260515_024148.json,ACM,HAN,cba,5,trigger_size,8.0,0.075,8,1.0,0.2,0.8913043737411499,0.7554348111152649,0.09375,0.5546875,0.4609375,1.0,1.0,1.0,0.8804348111152649,0.09375,0.4609375,0.01086956262588501,,False
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed5_20260515_024515.json,ACM,HAN,cba,5,trigger_size,10.0,0.075,10,1.0,0.2,0.8913043737411499,0.7989130616188049,0.09375,0.6953125,0.6015625,1.0,1.0,1.0,0.8695651888847351,0.109375,0.5859375,0.021739184856414795,,True
results_sensitivity_acm_han_5seeds/defense_suite_ACM_HAN_cba_r0.075_seed5_20260515_024840.json,ACM,HAN,cba,5,trigger_size,12.0,0.075,12,1.0,0.2,0.8913043737411499,0.804347813129425,0.09375,0.5546875,0.4609375,1.0,1.0,1.0,0.885869562625885,0.09375,0.4609375,0.005434811115264893,,False
